,Date,Total Fuel Used (kWh per capita),Coal (kWh per capita),Oil (kWh per capita),Gas (kWh per capita),Nuclear (kWh per capita),Hydro (kWh per capita),Wind (kWh per capita),Bioenergy (kWh per capita),Solar (kWh per capita),Low Carbon (kWh per capita),Renewables (kWh per capita),Fossil Fuels (kWh per capita),UK Population,Rainfall (mm),Sunshine (hours),Temperature (C),Wind (knots)
247,2015-08-01,743.101877320369,186.7652018520812,3.3169414250441234,243.26020418831666,213.22940117877735,4.048095180026968,31.671440703647118,58.4209683249707,2.371791449090691,309.74169683651286,96.51229565773548,433.342347465442,65160029.166666664,104.7,148.1,14.7,8.77230062161994
248,2015-09-01,773.2370233856394,198.59764891123476,3.974091502800193,268.97292848324355,210.6090286102811,2.0672404229812664,27.747356367084755,58.8807099787078,2.3880191093059455,301.6923544883608,91.08332587807976,471.56248993540765,65203833.333333336,52.1,151.9,11.9,5.484711256915521
249,2015-10-01,903.5967930639634,289.4508785854507,4.434459408587782,261.68653232846935,242.9870047018944,2.2439433151889983,30.73846160330326,70.68421442845344,1.3712986926154989,348.02492274145555,105.0379180395612,555.5718703225078,65247637.5,72.1,90.4,10.0,10.020628992238937
250,2015-11-01,886.3146611992154,256.08284291471074,3.648410785844444,255.9404659084339,232.2168972375527,7.884126722580921,59.78054551049505,70.245255471844,0.5161166477536043,370.64294159022626,138.42604435267359,515.6717196089891,65291441.666666664,172.0,35.5,8.1,7.590060503362296
251,2015-12-01,867.8996654370895,216.4458068478735,4.695291126363074,236.73871281446543,256.7470556824899,12.005005720814678,70.57164844472983,70.32265573348332,0.37348906686978994,410.01985464838754,153.2727989658976,457.879810788702,65335245.833333336,216.9,29.1,7.9,10.301286005056195
252,2016-01-01,936.5450859258432,219.5888438268834,5.065384094752065,332.55579577861715,232.847708860866,9.597569863740755,59.34497365746366,76.85165202002783,0.6931578234923879,379.3350622255906,146.46958008719918,557.2100237002526,65379050.0,178.7,37.3,4.5,12.305453514149319
253,2016-02-01,877.1955139126871,226.42174015561767,4.209771116096445,303.56535178940186,213.89900329128014,8.54388146347,49.27386108038624,69.80759698843472,1.4565452806747197,342.9808881042458,129.08188481296568,534.196863061116,65417808.333333336,110.1,84.5,3.8,9.296496836585073
254,2016-03-01,883.1911746058582,188.67069614100342,4.242782873325162,356.71330149203266,215.08601377911154,6.745847246291052,36.51633627794919,72.89065471913437,2.3255420770108626,333.58214632909255,118.49613254998098,549.6090282767657,65456566.666666664,83.8,116.5,5.3,10.563320684365682
255,2016-04-01,752.2845943584523,83.03126978910326,2.359649333750157,350.8425983075891,203.036293048397,4.666073494558581,36.05118380586706,68.85563206228842,3.441894516898725,316.05107692800976,113.01478387961278,436.23351743044253,65495325.0,77.3,160.4,6.5,7.7563133849692045
256,2016-05-01,696.0926845954205,50.87090305426311,1.950435460428352,317.86778635544607,211.87048469689435,3.2980090512697586,35.12556951916878,70.99585075959202,4.1136456983579786,325.3858284938244,113.53307502838854,370.706856101596,65534083.333333336,61.4,208.1,11.3,9.945273920003917
